RCR;PPN;Titre;Responsabilité principale;Responsabilité secondaire;Éditeur;Date;Titre original;IdRef Auteurs;Auteurs;IdRef Traducteurs;Traducteurs
751052115;https://www.sudoc.fr/101115555;Quand nous nous réveillerons d'entre les morts;Henrik Ibsen;Trad. par Prozor;Perrin;1923;;['027325032'];['Ibsen, Henrik (1828-1906)'];['028017099'];['Prozor, Maurice (1848-1928)']
751052115;https://www.sudoc.fr/101115369;Le petit Eyolf;Henrik Ibsen;Trad. par Prozor;Perrin;1928;Lille Eyolf;['027325032'];['Ibsen, Henrik (1828-1906)'];['028017099'];['Prozor, Maurice (1848-1928)']
751052115;https://www.sudoc.fr/101115326;Peer Gynt;Henrik Ibsen;Trad. par Prozor;Perrin;1928;;['027325032'];['Ibsen, Henrik (1828-1906)'];[];[]
751052115;https://www.sudoc.fr/101115245;Norma ou Les amours d'un politicien;Henrik Ibsen;Traduction et avertissement par P.G. La Chesnais;Revue europeenne;1928;;['027325032'];['Ibsen, Henrik (1828-1906)'];[];[]
751052115;https://www.sudoc.fr/101115113;Lettres à ses amis;Henrik Ibsen;Trad. par Martine Rémusat;Perrin;1906;;['027325032'];['Ibsen, Henrik (1828-1906)'];['028301692'];['Rémusat, Martine (1860-1930)']
751052115;https://www.sudoc.fr/101114656;La comédie de l'amour;Henrik Ibsen;Traduite du Norvégien par Colleville et Fritz de Zepelin;Perrin;1903;;['027325032'];['Ibsen, Henrik (1828-1906)'];['03028242X'];['Colleville, Ludovic de (1855-1918)' 'Zepelin, Fritz ()']
751052115;https://www.sudoc.fr/101114516;Le canard sauvage;Henrik Ibsen;Trad. de M. Prozor;Perrin et Cie;1900;;['027325032'];['Ibsen, Henrik (1828-1906)'];[];[]
751052115;https://www.sudoc.fr/101114478;Brand;Henrik Ibsen;Trad. par Prozor;Perrin;1928;;['027325032'];['Ibsen, Henrik (1828-1906)'];['028017099'];['Prozor, Maurice (1848-1928)']
751052115;https://www.sudoc.fr/101114435;Ibsen;traduction nouvelle, introduction et notes par Jacques de Coussange;;;;;['027325032'];['Ibsen, Henrik (1828-1906)'];['034626867'];['Coussange, Jacques de (1869-1944)']
751052115;https://www.sudoc.fr/101106041;Deux vivants et un mort;Sigurd Christiansen;traduit du norvègien par G. Sautreau;Rieder;1933;To levende og en d&od;[];['Christiansen, Sigurd ()'];['027124118'];['Sautreau, Georges (1875-1951)']
751052115;https://www.sudoc.fr/101091613;La Voûte;Thorvald Aadahl;Trad. par O. Grund;"""Les Presses de la Cité";1944;Gårdsklokken;[];['Aadahl, Thorvald ()'];[];['Grund, O. ()']
751052115;https://www.sudoc.fr/100975674;Vagabonds;Knut Hamsun;;B. Grasset;1936;;['026913852'];['Hamsun, Knut (1859-1952)'];['029572355'];['Petithuguenin, Jean (1878-1939)']
751052115;https://www.sudoc.fr/100975631;Les nuits claires;Johan Bojer;traduit du norvégien par P.G. La Chesnais;Calmann-Lévy;1913;Liv;['088559971'];['Bojer, Johan (1872-1959)'];[];[]
751052115;https://www.sudoc.fr/100915639;Un vagabond joue en sourdine;Knut Hamsun;Trad. par Georges Sautreau;Rieder;1924;;['026913852'];['Hamsun, Knut (1859-1952)'];['027124118'];['Sautreau, Georges (1875-1951)']
751052115;https://www.sudoc.fr/100910653;L'éveil de la glèbe;Knut Hamsun;trad. du norvégien par Jean Petithuguenin;Flammarion;1937;Markens grøde;['026913852'];['Hamsun, Knut (1859-1952)'];['029572355'];['Petithuguenin, Jean (1878-1939)']
751052115;https://www.sudoc.fr/100886892;Solvending;Vetle Vislie;en français par Sten Byelke & Sébastien Voirol;J. Maisonneuve;1901;Solvending;[];['Vislie, Vetle ()'];['057144443' '029586429'];['Byelke, Sten (18..-19..)' 'Voirol, Sébastien (1870-1930)']
751052115;https://www.sudoc.fr/10087875X;De l'atlantique au Pacifique par les glaces arctiques;par le capitaine Roald Amundsen;;sn;1909;;['027375226'];['Amundsen, Roald (1872-1928)'];['027087069'];['Rabot, Charles (1856-1944)']
751052115;https://www.sudoc.fr/100876951;Poèmes inédits;Sigbjørn Obstfelder;traduction de Reidar Øsknevad;;1927;;['034495320'];['Obstfelder, Sigbjørn (1866-1900)'];['097859729'];['Øksnevad, Reidar (1884-1958)']
751052115;https://www.sudoc.fr/100876056;Notre honneur et notre puissance;Nordahl Grieg;;Commune;1936;Vår aere og vår makt;['034410856'];['Grieg, Nordahl (1902-1943)'];[];[]
751052115;https://www.sudoc.fr/10078867X;Vers le Nord;texte par Arne Bratsberg;traduction de M. T. Chauvin;impr. de C. Renaudie;1911;;[];['Bratsberg, Arne ()'];[];['Chauvin, T. ()']
751052115;https://www.sudoc.fr/100781330;La Route des oiseaux;Illustrations de P. Lagosse;;G.-T. Rageot;1947;3 på to og 2 på fire;['165051450'];['Evjenth, Håkon (1894-1951)'];['034721088' '03472107X'];['Gérard-Arlberg, Gilles (19..-....)' 'Gérard-Arlberg, Judith ()']
751052115;https://www.sudoc.fr/100781314;Le Daro;traduit du norvégien par P.-G. La Chesnais;Illustrations de Léon Blot;G.-T. Rageot (impr. de Busson);1946;En fiskergutt i Sameland;['165051450'];['Evjenth, Håkon (1894-1951)'];['02695592X'];['La Chesnais, Pierre Georget (1865-1948)']
751052115;https://www.sudoc.fr/100780520;Roald Amundsen;Jan Østby;traduit du norvègien par Céline Van der Pelen;La Baconnière;1948;Roald Amundsen : hans liv og ferder;['060596201'];['Östby, Jan (19..-....)'];['060596260'];['Van der Pelen, Céline (19..-....)']
751052115;https://www.sudoc.fr/100767788;La Norvège d'aujourd'hui;[Editeur : Per Vogt;traduction française par Maurice Lesoil, ...];Dreyer;1950;;[];[];['070674744'];['Lesoil, Maurice (19..-....)']
751052115;https://www.sudoc.fr/100744664;L'homme de l'autre monde;Alf Harbitz;Traduit du norvégien par Céline Van der Pelen;J. Dupuis;1949;;['16543435X'];['Harbitz, Alf (1880-1964)'];['060596260'];['Van der Pelen, Céline (19..-....)']
751052115;https://www.sudoc.fr/100721850;Je suis enfant de parents divorcés;traduit du norvégien par J. Boichat;;Delachaux & Niestlé;1941;;[];[];[];[]
751052115;https://www.sudoc.fr/100719872;Klondyke Bill;Helge Ingstad;Traduit du norvégien par Céline Van der Pelen;Office de publicité;1945;;['058635483'];['Ingstad, Helge (1899-2001)'];['060596260'];['Van der Pelen, Céline (19..-....)']
751052115;https://www.sudoc.fr/10066184X;Sous l'étoile d'automne;Knut Hamsun;traduit du norvégien par Georges Sautreau;;;Under høststjærnen;['026913852'];['Hamsun, Knut (1859-1952)'];['027124118'];['Sautreau, Georges (1875-1951)']
751052115;https://www.sudoc.fr/096474882;Je suis une vraie norvégienne;Synnöve Christensen;version française de Marianne Gagnebin;;;;['169231119'];['Christensen, Synnøve (1919-1968)'];['103278648'];['Gagnebin-Maurer, Marianne ()']
751052115;https://www.sudoc.fr/085079855;Au Pôle antarctique;Dr Otto Nordenskjöld;traduit par Charles Rabot,...;;;Antarctic, två år bland sydpolens isar;['076329283'];['Nordenskjöld, Nils Otto Gustav (1869-1928)'];['027087069'];['Rabot, Charles (1856-1944)']
751052115;https://www.sudoc.fr/084899107;Contes norvégiens;Asbjörnsen et Moe;adaptation de Léon Pineau, introduction de Gunnar Höst, illustrations de Eric Werenskiold et Theodor Kittelsen;;;;['028497554'];['Asbjørnsen, Peter Christen (1812-1885)'];[];[]
751052115;https://www.sudoc.fr/081276559;Empereur et Galiléen;Henrik Ibsen;trad. [du norvégien] de Ch. de Casanove;P. V. Stock éd.;1902;;['027325032'];['Ibsen, Henrik (1828-1906)'];[];[]
